sku,description,demand_pattern,model_used,date,forecast,forecast_lower,forecast_upper,mape_backtest,wmape_backtest,bias_pct,holiday_adjusted
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-04-01,29.774532438567384,7.952526674613419,51.00401266802009,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-05-01,29.585496985722436,8.779542561294445,51.41918589056342,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-06-01,30.189774171083684,9.485302053231344,50.471352657082434,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-07-01,30.171782262103797,9.753193104967984,51.08729096198692,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-08-01,29.444598453711063,10.084390731851094,50.231921401857264,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-09-01,29.03068797494426,7.80678661653161,47.82828764057911,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-10-01,29.103739757848903,8.829581780063435,50.09992446445715,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-11-01,28.96998153965121,9.012318796777658,49.79846349699068,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2026-12-01,29.64127777439354,8.250140522394537,51.02198874866367,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2027-01-01,29.776913937365915,8.613667078809662,49.57960267249854,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2027-02-01,29.045273473917288,6.078355646437917,49.29591236158302,6.301446749853559,6.180730671314826,6.18073067131483,False
AGP600,ANLENE GOLD PLAIN 12X600 GR,SMOOTH,Prophet,2027-03-01,29.452841386742683,6.713264958937148,50.64585004504057,6.301446749853559,6.180730671314826,6.18073067131483,False
